,Z,N,A,Pasym,ZPAR,NPAR,VZ,VN,MASS,U
0,0.0,1.0,1.0,1.0,0,1,-2.0,-1.0,1.0086649159,4.7e-10
1,1.0,0.0,1.0,-1.0,1,0,-1.0,-2.0,1.007825031898,1.4e-11
2,1.0,1.0,2.0,0.0,1,1,-1.0,-1.0,2.014101777844,1.5e-11
3,1.0,2.0,3.0,0.3333333333333333,1,0,-1.0,0.0,3.01604928132,8.000000000000001e-11
4,2.0,1.0,3.0,-0.3333333333333333,0,1,0.0,-1.0,3.01602932197,6e-11
5,3.0,0.0,3.0,-1.0,1,0,1.0,-2.0,3.030775,0.002147
6,1.0,3.0,4.0,0.5,1,1,-1.0,1.0,4.026431867,0.000107354
7,2.0,2.0,4.0,0.0,0,0,0.0,0.0,4.00260325413,1.6000000000000002e-10
8,3.0,1.0,4.0,-0.5,1,1,1.0,-1.0,4.027185561,0.000227733
9,1.0,4.0,5.0,0.6,1,0,-1.0,2.0,5.035311492,9.601999999999999e-05
10,2.0,3.0,5.0,0.2,0,1,0.0,1.0,5.012057224,2.147e-05
11,3.0,2.0,5.0,-0.2,1,0,1.0,0.0,5.0125378,5.3677e-05
12,4.0,1.0,5.0,-0.6,0,1,2.0,-1.0,5.03987,0.00215
13,1.0,5.0,6.0,0.6666666666666666,1,1,-1.0,-3.0,6.044955437,0.000272816
14,2.0,4.0,6.0,0.3333333333333333,0,0,0.0,2.0,6.018885889,5.7e-08
15,3.0,3.0,6.0,0.0,1,1,1.0,1.0,6.01512288742,1.55e-09
16,4.0,2.0,6.0,-0.3333333333333333,0,0,2.0,0.0,6.0197264090000004,5.848e-06
17,5.0,1.0,6.0,-0.6666666666666666,1,1,-3.0,-1.0,6.0508,0.00215
18,1.0,6.0,7.0,0.7142857142857143,1,0,-1.0,-2.0,7.052749,0.001078
19,2.0,5.0,7.0,0.42857142857142855,0,1,0.0,-3.0,7.027990652,8.115e-06
20,3.0,4.0,7.0,0.14285714285714285,1,0,1.0,2.0,7.01600343426,4.5e-09
21,4.0,3.0,7.0,-0.14285714285714285,0,1,2.0,1.0,7.016928714,7.599999999999999e-08
22,5.0,2.0,7.0,-0.42857142857142855,1,0,-3.0,0.0,7.029712,2.7e-05
23,2.0,6.0,8.0,0.5,0,0,0.0,-2.0,8.033934388,9.5e-08
24,3.0,5.0,8.0,0.25,1,1,1.0,-3.0,8.022486244,5.0000000000000004e-08
25,4.0,4.0,8.0,0.0,0,0,2.0,2.0,8.005305102,3.7e-08
26,5.0,3.0,8.0,-0.25,1,1,-3.0,1.0,8.024607315,1.073e-06
27,6.0,2.0,8.0,-0.5,0,0,-2.0,0.0,8.037643039,1.9584e-05
28,2.0,7.0,9.0,0.5555555555555556,0,1,0.0,-1.0,9.043946414,5.0259e-05
29,3.0,6.0,9.0,0.3333333333333333,1,0,1.0,-2.0,9.026790191,2.0000000000000002e-07
30,4.0,5.0,9.0,0.1111111111111111,0,1,2.0,-3.0,9.012183062,8.2e-08
31,5.0,4.0,9.0,-0.1111111111111111,1,0,-3.0,2.0,9.013329645,9.69e-07
32,6.0,3.0,9.0,-0.3333333333333333,0,1,-2.0,1.0,9.031037202,2.2930000000000003e-06
33,2.0,8.0,10.0,0.6,0,0,0.0,0.0,10.052815306,9.9676e-05
34,3.0,7.0,10.0,0.4,1,1,1.0,-1.0,10.035483453,1.3656000000000001e-05
35,4.0,6.0,10.0,0.2,0,0,2.0,-2.0,10.013534692,8.599999999999999e-08
36,5.0,5.0,10.0,0.0,1,1,-3.0,-3.0,10.012936862,1.6e-08
37,6.0,4.0,10.0,-0.2,0,0,-2.0,2.0,10.016853217,7.5e-08
38,7.0,3.0,10.0,-0.4,1,1,-1.0,1.0,10.04165354,0.00042941699999999997
39,3.0,8.0,11.0,0.45454545454545453,1,0,1.0,0.0,11.043723581,6.6e-07
40,4.0,7.0,11.0,0.2727272727272727,0,1,2.0,-1.0,11.02166108,2.55e-07
41,5.0,6.0,11.0,0.09090909090909091,1,0,-3.0,-2.0,11.009305166,1.2999999999999999e-08
42,6.0,5.0,11.0,-0.09090909090909091,0,1,-2.0,-3.0,11.011432597,6.4e-08
43,7.0,4.0,11.0,-0.2727272727272727,1,0,-1.0,2.0,11.026157593,5.368e-06
44,8.0,3.0,11.0,-0.45454545454545453,0,1,0.0,1.0,11.051249828,6.4453e-05
45,3.0,9.0,12.0,0.5,1,1,1.0,1.0,12.052613942,3.2213e-05
46,4.0,8.0,12.0,0.3333333333333333,0,0,2.0,0.0,12.026922082,2.048e-06
47,5.0,7.0,12.0,0.16666666666666666,1,1,-3.0,-1.0,12.014352638,1.418e-06
48,6.0,6.0,12.0,0.0,0,0,-2.0,-2.0,12.0,1e-12
49,7.0,5.0,12.0,-0.16666666666666666,1,1,-1.0,-3.0,12.01861318,1.073e-06
50,8.0,4.0,12.0,-0.3333333333333333,0,0,0.0,2.0,12.034367726,1.2882e-05
